text,label,önem derecesi
Altındağ Belediyesi Sokak Köpeklerini Saldırması Baraj mahallesinde oturuyorum. TOKİ blokları. Merhabalar bizim buradaki köpek sayısı her geçen gün artıyor sabahları çocuklarımız okula giderken saldırıyor uğruyor. Geçen sabah kızım okula giderken köpek saldırmış. Yanından geçenler olmasaydı sonuç ne olacağını biliyoruz Olan benim kızıma olacaktı. Lütfen yeter artık buradaki köpek sayısını azaltın. Havalar soğudukça daha saldırgan olmaya başladılar bu konuyu artık ele alın ve bir çare bulun. Bizlerde hayvanseveriz ama bizlere zarar veriliyorsa bir çaresini bulmak lazım. Şimdiden teşekkürler.,Sokak Hayvanları Tehditi,3
Altındağ Belediyesi 3-5 Kürek Asfalt Feridun Çelik Mh 1762. Cadde de oturuyorum. Asfalt yama çalışması yapan arkadaşlara birkaç kürek asfalt ta apartmanın araba girişi kısmına atmalarını rica ettik ama olumsuz cevap verdiler ve bizi üzdüler maalesef. Olumsuz cevaba bir anlam da veremedim.,Altyapı ve İmar,3
"Altındağ Belediyesi Başıboş Köpeklerin İnsanlara Saldırması K****t***'de oturuyorum. Akşam saatlerinde ve sabah erken saatlerde köpekler yüzünden korkar olduk. Apartmanın önünde 5-6 köpek tarafından saldırıya uğradım. Şans eseri kapıya yakındım ve kaçabildim. Peki ya kaçamasaydım? Bu durumun tekrarlanması ve sokak köpeklerinin bana ya da ailem üyelerinden birine saldırması halinde savcılığa suç duyurusunda bulunacağımı açıkça ifade ediyorum. Altındağ Belediyesi'nden, buradaki köpeklerin barınaklara yerleştirilmesini rica ediyorum.",Sokak Hayvanları Tehditi,3
"Altındağ Belediyesi Altındağ Köpek Yuvası Oldu Altındağ Karacaören TOKİ'de başıboş gezen sokak köpeklerinden artık bıktık. Evimize gidemiyoruz, çünkü hepsi saldırıyor. Bir çözüm bulunması gerekiyor. Kısırlaştırıp bırakmak yeterli olmuyor. Maalesef orman yakını olduğu için hepsini buraya salıyorsunuz. Lütfen bu konuya el atın, ya bir barınak yapın ya da köpekleri toplayın.",Sokak Hayvanları Tehditi,3
Altındağ Belediyesi Kuzey Ankara TOKİ Bloklarında Park Eksikliği Altındağ ilçesine bağlı kuzey Ankara TOKİ bloklarında oturuyorum. Yakınında oyun parkı yok. Ve binada bayağı çocuk var. Blogun arka bahçesine çocuk oyun parkı yapılmasını istiyoruz. Fazla büyük bir şeye gerek yok 2 salıncak 2 kaydırak olsa yetecek. Belediyemize iletemiyoruz bu sorunumuzu. Belki buradan bir sonuç çıkar diye yazmak istedik.,Belediye Hizmetleri,1
"Altındağ Belediyesi Altındağ Çocuk Kütüphanesi Altındağ Çocuk Kütüphanesi'nden randevu almaya çalışıyorum, ancak ikiz bebeklerim için bir türlü randevu alamıyorum. Sürekli dolu olduğunu söylüyor sistem ve başka yerden de randevu vermiyorlar. Birine randevu alabiliyorken diğerine alamıyorum. Ben randevu alana kadar yerler dolmuş; tek çocuğumu içeri alıp diğerini alamıyorlar. Böyle bir durumla karşılaştığımı söylemek zorundayım. Yani bu nasıl bir sistem, nasıl bu kadar hızlı randevular doluyor, anlamıyorum. Bu soruna bir çözüm bulunmalı.",Belediye Hizmetleri,3
"Seyfi Demirsoy Hanımlar Lokali Şikayeti Altındağ Seyfi Demirsoy Hanımlar lokaline 18 yaşındaki oğlum, yönetici tarafından içeri alınmadı ve dışarı çıkması istendi. Oysaki oğluma bir paket verecektim alıp gidecekti. Yönetici burada kapalı bayanlar var rahatsız olur diyerek oğlumu merdivenlere kadar eşlik ederek benden de vereceğim paketi elimden alarak kendi verdi. Bu akıl almaz davranışından dolayı kendisinden açıklama istediğimde kapalı bayanlar var istemiyorlar erkek burada dedi. Burası eğitim ve kültür merkezi bu yöneticinin uyarılmasını ve bu anlamsız, mantıksız davranışı için uyarılmasını istiyorum. O merkezde sadece kapalı bayanlar yok herkese açık kişiye özel ayrımcılık yapılamaz.",Sosyal Yardımlar,3
"Altındağ Belediyesi Belediyenin İhmalsizliği Y Merhaba, 18/11/2023 tarihinde saat 19.45'te Altındağ Örnek Mahallesi'nde seyir halindeyken rögar kapağının fazla yukarıda bırakılması nedeniyle aracımla kaza yaptım. Maddi hasarım oldukça yüksek. Yardım talep ediyorum. Rögar kapağının hafif açık bırakılması gerekirken, bu kadar yukarı kaldırılmasının sebebini anlamıyorum. Kaza sonrası kapak normale döndü, ancak ne duba ne de başka bir işaret bulunmuyordu. Olay anına ait fotoğraf ve video kayıtlarım mevcuttur.",Belediye Hizmetleri,3
Altındağ Belediyesi 185-450 Halk Otobüsü Şikayeti Sayın Altındağ Belediyesi 185-450 halk otobüslerinin duraklarda durmadan ilerleyip çoğu yolcuyu durakta bırakıyor ve neredeyse bütün şoförler hiç Bir trafik kurallarına uymuyorlar. Özellikle sabahları Kızılay'dan güneşevler tarafına giderken Dışkapı'da durakta birkaç otobüs varken asla durmuyorlar. Bunun için bir çözüm bulunmalı.,Ulaşım ve Trafik,1
Altındağ Belediyesi Sokak Köpekleri Toplatılsın Altındağ Beşikkaya Mahallesi'nde gruplar halinde köpekler dolaşıyor. Geçen arabalara bile saldırıyorlar. Evden çıkamıyoruz korkudan. Lütfen bu tehlike arz eden hayvanların toplatılmasını istiyoruz. Sürekli saldırı korkusu yaşıyoruz. Psikolojimiz bozuldu ama canımızdan da olmayalım.,Sokak Hayvanları Tehditi,3
"Altındağ Belediyesi Seyyar Satıcı Sorunu Altındağ baraj Mahallesi, k** TOKİ blokları 1*. Etap ** blok önünde akşam 17:30'da seyyar bakkal geliyor. 06 *** 44 plakalı araca defalarca şikayet etmeme rağmen zabıta arkadaşlar gönderiyor, o geri geliyor. Bu memlekette vergi, kira, elektrik, su, eleman maaşı ödemeye gerek yok; seyyar çalışın. Nasıl olsa bir işlem yapan yok, iki ağlayınca tamam gönderiyorlar. Altındağ Belediyesi zabıta arkadaşlara bizzat duyurulur. Benim devlet babaya ödediğim vergilerden maaş alıp seyyarları koruyorlar. İlyas ö**.",Belediye Hizmetleri,2
"Altındağ Belediyesi Zabıta Pazar Yeri Beşikkaya Şikayeti Altındağ Beşikkaya semt pazarına çanta satmak için sabah 8'de gittim. Zabıta yokmuş, gelene kadar bekledim. Gelince durumu anlattım, pazarın herhangi bir yerine açmamı söyledi. Ben de açtım, bayağı uğraştım açarken. Sonra 1 saat sonra geldiler, 'buradan kaldır' dediler. Yanımdaki satıcıya da 'kaldır' dediler. Ben de 'tamam' dedim, sonra diğer zabıta 'o benim köylüm, kalsın' dedi. Bana kaldırttı. Ben de vatandaşım, o da vatandaş. Bu çifte standart değil mi? Bu nasıl vicdan? Gereğinin yapılmasını istiyorum. Her tarafa şikayet de bulunacağım; CİMER'e, belediyeye, Cumhurbaşkanlığı'na.",Belediye Hizmetleri,2
Altındağ Belediyesi Başıboş Sokak Köpekleri Çevrede başıboş köpeklerden dolayı rahat hareket edemiyoruz. Bu hayvanların acilen toplatılmasını rica ediyorum. Her sokakta her caddede çeteleşmiş köpek sürüleri var acilen bu hayvanların toplatılmasını istiyorum. Bu hayvanları bir yerden alıp başka bir yere salınması doğru değil.,Sokak Hayvanları Tehditi,3
"Altındağ Belediyesi Ankara Siteler Duman İs Sorunu Ankara Siteler'de duman ve is sorunu sürekli ateş yakımından kaynaklanıyor. Her sabah çektiğimiz duman sorunu nedeniyle çocuklarımızı okula götürürken gözlerimiz yanıyor. En kısa sürede yasaklanması gerekiyor. Oğlum nefes alamıyor, artık yeter. Kaç yıldır var, yazmadığım yer kalmadı ama bir çözüm yok maalesef.",Çevre ve Temizlik,3
Altındağ Belediyesi Sokaklarda Artan Tehlike: Sürüler Halinde Köpekler Altındağ Gü--- Mahallesi C** ***  Arseven Caddesi'nde 10'lu sürüler halinde havlayarak gezen köpekler mevcut. İlgililer bu duruma bir çözüm bulmalı. Sokak köpeklerinden dolayı dışarı adım atamaz olduk. Her geçen gün sayıları artıyor. Yetkililer acil olarak bir adım atmalı.,Sokak Hayvanları Tehditi,3
"Altındağ Belediyesi Altındağ Başıboş Köpek Sorunu! Doğantepe mah. C**** M**** kültür merkezi arkasında 10lu köpek sürüsü var sürekli oradalar, burada küçük çocuklar var kardeşim de küçük, saldırabilirler lütfen toplayın! İnsanların içindeki hayvan sevgisini öldürmeyin lütfen. Kardeşimin başına bir şey gelirse sorumlusu ben değilim!",Sokak Hayvanları Tehditi,3
"Altındağ Belediyesi Mahallesi Muhtarı Görevini Yapmıyor Ankara Altındağ Feridun Çelik Mahallesi Muhtarlığı görevini tam yapmıyor. Mahallesini sokak sokak, cadde cadde dolaşması gerekirken, sadece başını sallayıp duruyor. Maaş almasına rağmen başka hiçbir iş yapmıyor. Şehit Yavuz Bayram Parkı'nın çevre duvarları ve Profesör Doktor Ahmet Haluk Meslek Lisesi'nin duvarları yazılarla dolu. Ayrıca, bu meslek lisesinin önünde akşamları alkol tüketiliyor ve muhtarlık bu durumlarla hiç ilgilenmiyor. Muhtarın, belediyeden ve emniyetten bazı konularda yardım istemesi gerekiyor. Ne muhtar ne de Belediye Başkanı burada gereken işleri yapıyor.",Belediye Hizmetleri,1
"Altındağ Belediyesi Başıboş Köpek Tehlikesi Ve Güvenlik Sorunu Mahalledeki başıboş köpeklerden bıktım. Tamam, onlar da canlı, ben de biliyorum; köpek besledim ama bu fazla. Saldırıyorlar, okul ve işim yüzünden karanlık saatlerde gidip geliyorum. Gerçi bununla da pek alakası yok, köpekler her zaman saldırıyorlar. Kaçmak veya yolumu uzatmak zorunda kalıyorum. Altındağ Örnek Mahallesi.",Sokak Hayvanları Tehditi,3
"Altındağ Belediyesi Köpek Saldırısı Oturduğumuz mahallede beni köpeklerin kovalamasından sonra erkek kardeşime köpek saldırdı ve çok sayıda bacağından diş yarası aldı, Ankara'da artan köpek sorununa artık bir çözüm istiyoruz. Kardeşimin aldığı yaralar sonrası hastanede tedavisi devam etmektedir.",Sokak Hayvanları Tehditi,3
Altındağ Belediyesi 3-5 Kürek Asfalt Feridun Çelik Mh 1762. Cadde de oturuyorum. Asfalt yama çalışması yapan arkadaşlara birkaç kürek asfalt ta apartmanın araba girişi kısmına atmalarını rica ettik ama olumsuz cevap verdiler ve bizi üzdüler maalesef. Olumsuz cevaba bir anlam da veremedim.,Belediye Hizmetleri,3
Altındağ Belediyesi Sokak Köpeklerini Saldırması Baraj mahallesinde oturuyorum. TOKİ blokları. Merhabalar bizim buradaki köpek sayısı her geçen gün artıyor sabahları çocuklarımız okula giderken saldırıyor uğruyor. Geçen sabah kızım okula giderken köpek saldırmış. Yanından geçenler olmasaydı sonuç ne olacağını biliyoruz Olan benim kızıma olacaktı. Lütfen yeter artık buradaki köpek sayısını azaltın. Havalar soğudukça daha saldırgan olmaya başladılar bu konuyu artık ele alın ve bir çare bulun. Bizlerde hayvanseveriz ama bizlere zarar veriliyorsa bir çaresini bulmak lazım. Şimdiden teşekkürler.,Sokak Hayvanları Tehditi,3
"Altındağ Belediyesi Başıboş Köpeklerin İnsanlara Saldırması K****t***'de oturuyorum. Akşam saatlerinde ve sabah erken saatlerde köpekler yüzünden korkar olduk. Apartmanın önünde 5-6 köpek tarafından saldırıya uğradım. Şans eseri kapıya yakındım ve kaçabildim. Peki ya kaçamasaydım? Bu durumun tekrarlanması ve sokak köpeklerinin bana ya da ailem üyelerinden birine saldırması halinde savcılığa suç duyurusunda bulunacağımı açıkça ifade ediyorum. Altındağ Belediyesi'nden, buradaki köpeklerin barınaklara yerleştirilmesini rica ediyorum.",Sokak Hayvanları Tehditi,3
"Altındağ Belediyesi Altındağ Köpek Yuvası Oldu Altındağ Karacaören TOKİ'de başıboş gezen sokak köpeklerinden artık bıktık. Evimize gidemiyoruz, çünkü hepsi saldırıyor. Bir çözüm bulunması gerekiyor. Kısırlaştırıp bırakmak yeterli olmuyor. Maalesef orman yakını olduğu için hepsini buraya salıyorsunuz. Lütfen bu konuya el atın, ya bir barınak yapın ya da köpekleri toplayın.",Sokak Hayvanları Tehditi,3
Altındağ Belediyesi Kuzey Ankara TOKİ Bloklarında Park Eksikliği Altındağ ilçesine bağlı kuzey Ankara TOKİ bloklarında oturuyorum. Yakınında oyun parkı yok. Ve binada bayağı çocuk var. Blogun arka bahçesine çocuk oyun parkı yapılmasını istiyoruz. Fazla büyük bir şeye gerek yok 2 salıncak 2 kaydırak olsa yetecek. Belediyemize iletemiyoruz bu sorunumuzu. Belki buradan bir sonuç çıkar diye yazmak istedik.,Altyapı ve İmar,1
"Seyfi Demirsoy Hanımlar Lokali Şikayeti Altındağ Seyfi Demirsoy Hanımlar lokaline 18 yaşındaki oğlum, yönetici tarafından içeri alınmadı ve dışarı çıkması istendi. Oysaki oğluma bir paket verecektim alıp gidecekti. Yönetici burada kapalı bayanlar var rahatsız olur diyerek oğlumu merdivenlere kadar eşlik ederek benden de vereceğim paketi elimden alarak kendi verdi. Bu akıl almaz davranışından dolayı kendisinden açıklama istediğimde kapalı bayanlar var istemiyorlar erkek burada dedi. Burası eğitim ve kültür merkezi bu yöneticinin uyarılmasını ve bu anlamsız, mantıksız davranışı için uyarılmasını istiyorum. O merkezde sadece kapalı bayanlar yok herkese açık kişiye özel ayrımcılık yapılamaz.",Sosyal Yardımlar,3
"Altındağ Belediyesi Altındağ Çocuk Kütüphanesi Altındağ Çocuk Kütüphanesi'nden randevu almaya çalışıyorum, ancak ikiz bebeklerim için bir türlü randevu alamıyorum. Sürekli dolu olduğunu söylüyor sistem ve başka yerden de randevu vermiyorlar. Birine randevu alabiliyorken diğerine alamıyorum. Ben randevu alana kadar yerler dolmuş; tek çocuğumu içeri alıp diğerini alamıyorlar. Böyle bir durumla karşılaştığımı söylemek zorundayım. Yani bu nasıl bir sistem, nasıl bu kadar hızlı randevular doluyor, anlamıyorum. Bu soruna bir çözüm bulunmalı.",Belediye Hizmetleri,3
"Altındağ Belediyesi Belediyenin İhmalsizliği Y Merhaba, 18/11/2023 tarihinde saat 19.45'te Altındağ Örnek Mahallesi'nde seyir halindeyken rögar kapağının fazla yukarıda bırakılması nedeniyle aracımla kaza yaptım. Maddi hasarım oldukça yüksek. Yardım talep ediyorum. Rögar kapağının hafif açık bırakılması gerekirken, bu kadar yukarı kaldırılmasının sebebini anlamıyorum. Kaza sonrası kapak normale döndü, ancak ne duba ne de başka bir işaret bulunmuyordu. Olay anına ait fotoğraf ve video kayıtlarım mevcuttur.",Belediye Hizmetleri,3
Altındağ Belediyesi 185-450 Halk Otobüsü Şikayeti Sayın Altındağ Belediyesi 185-450 halk otobüslerinin duraklarda durmadan ilerleyip çoğu yolcuyu durakta bırakıyor ve neredeyse bütün şoförler hiç Bir trafik kurallarına uymuyorlar. Özellikle sabahları Kızılay'dan güneşevler tarafına giderken Dışkapı'da durakta birkaç otobüs varken asla durmuyorlar. Bunun için bir çözüm bulunmalı.,Ulaşım ve Trafik,1
Altındağ Belediyesi Başıboş Köpeklere Müdahale Edilmeli! Ankara Altındağ Hacıbayram Veli Parkı çevresinde o kadar çok köpek sürüsü var ki iki kere saldırdılar .evimize giremiyoruz köpeklerden elimize taş alıp korkarak evime girebiliyorum şu 5 senedir topluyorsunuz küpe takip geri bırakıyorsunuz kardeşim kısırlaştırın bari bırakıyorsunuz siz toplamadan önce bu kadar köpek olmuyordu sanki özellikle Altındağ'a bırakıyorsunuz.,Sokak Hayvanları Tehditi,3
Altındağ Belediyesi Başıboş Gezen Köpek Ankara Altındağ Battalgazi mahallesinde başıboş gezen köpekler var okula giderken çocuklar korkuyor. Bir an önce ne yapıyorsanız yapın. Biz bile tedirgin oluyoruz. Lütfen gereğini yapın. İnsanlara havlıyorlar zannetmiyorum. Masum bir köpek olduklarını lütfen ilgilenin.,Sokak Hayvanları Tehditi,3
Altındağ Belediyesi Odun Kesmeleri Mahalle Ortasında Bir Haftadır Gece Gündüz! Mahallede huzur bırakmadılar. Gece yarılarına kadar hızar sesi susmak bilmiyor gerekli ilgili kişilere ricamız lütfen bu sorumsuzca davranmalarına bir son verilsin evler otun talaşından girilmez oldu araçlar deden silmekten yıkamaktan bir hal olduk mahallece!,Altyapı ve İmar,2
"Altındağ Belediyesi Altındağ Mahallede Çöpler Alınmıyor Ankara Altındağ Karacaören mahallesinde 1561. Sokakta çöpler haftada 1 bile alınmıyor. Artık bu işe bir çözüm bulun, görüntü paylaşacağım hale bakın. Yazık günah, çoluk çocuk kokudan duramıyoruz. Vicdanınız varsa şu işe bir el atın. Artık biz şikayet etmekten bıktık.",Çevre ve Temizlik,1
"Altındağ Belediyesi Altınşehir TOKİ De Usulsüz Aidat Toplanması Altındağ Belediyesi tarafından Altınşehir konutlarında usulsüz aidat alınması Ankara Altındağ Atınşehir TOKİ konutlarında bizden ayda 540 lira aidat alınıyor. Binamızı bile biz kendimiz süpürüyoruz. Bulunduğumuz TOKİ'de güvenlik yok, 1-2 tane görevli var onlarda sabahtan akşama kadar 60 tane binaya bir o tarafa bir bu tarafa koşturup duruyorlar. Yetkililere soruyorum bir binamızın temizliğini bile yapmayacaksanız bizden neden ayda 540 TL alıyorsunuz? Ne düzgün temizlik var güvenlik olacak denildi yok uydu sistemleri çalışmıyor otlar koca koca oldu. Biçilmedi kurudu biri bir ateş atsa evler yanar ta o derece TOKİ'nin içinde cami ve market yeri var hala açılmadı hizmet sıfır ama aidata gelince ödemezseniz zamlı ödersiniz diyorlar Ankara Altındağ Belediyesi tarafından bu nasıl bir anlayıştır girerken daire başı peşin peşin anahtar parası gibi yönetim gideri altında her daireden 5000 TL alındı hizmet sıfır gerekenin yapılmasını rica ederiz. Altındağ Belediyesi tarafından tarafımıza iletilen IBAN no TR10 0001 2001 4120 ****000 25 usulsüzce bir yerlere para akıyor devletimizin buna el atması lazım.",Belediye Hizmetleri,1
"Altındağ Belediyesi Başkent Halk Konseri Sırasında Yaşanan Saçmalık Ankara başkent halk konseri olmuştu, geçen ay 24 eylülde fatma turgutun konseriydi. Bir tanıdığım bu konsere gitti ve konser sırasında bir kız ona sigara kağıdına sarılmış, uyuşturucu olduğunu düşündüğümüz bir şey uzatmış. Tabii o da normal sigara sanıp içmiş sonra kafa gitmiş, uyanınca durumu fark etmiş fakat kızı bulamayacağı için şikayet falan yazmamış. Bende buradan duyurmak istedim, ekstra olarak fatma turgut'a konser sırasında çakmak vs fırlatılmış. Hayır madem bedava bir konser yapıyorsunuz adam akıllı güvenliği sağlayın.",Sosyal Yardımlar,3
Altındağ Belediyesi Kütüphanedeki Çalışanların Yetersizliği Kütüphanede yaşadığım olaya bilgileri dahilinde olmasıyla birlikte hiçbir yardımda bulunmadılar. Başlarından savdılar. Gerekli müdahaleyi göstermediler. Bu konuda benim buraya gelme amacım kalmıyor. Şaşıyor mantıklı olmuyor. Gereksiz tavırlara sahiplerdi bu kesinlikle mantıksız,Belediye Hizmetleri,3
Altındağ Belediyesi Yüzme Havuzu Ve Spor Tesisleri Ben Altındağ Belediyesi yüzme havuzu ve sosyal tesislerine gidiyorum. İçeride küçük uçan böcekler geziyor. Kaç kere bildirmemize rağmen hala aynı. Havuz o kadar pis ki giremiyoruz. Haftada bir kere temizlenirse olacağı bu. Bir tane saç kurutma makinesi var koca salonda. Jakuzi zaten daha hiç açılmadı. Spor salonunda alet çok az zaten onların da yarısı çalışmıyor. Hamama böcekten giremiyoruz. Lütfen artık duyun.,Belediye Hizmetleri,2
"Altındağ Belediyesi Yer Altı Çöp Konteynerleri! Gültepe Mahallesi 2059. Sok. Orkide park konutları C2 blok yanında bulunan yeraltı çöp konteynerinin 1. Yaya çıkış kapısı yanı 2. Dinleme çardak yanı 3. Kapakları arızalı olma sebebi. 4. Bloklarda oturanların konteyner içine çöp atma eğitimleri olmadığından dışarı çöp yığınları yaptıklarından. 5. Tüm bu sebeplerin kirli görüntü oluşturmasından başka, halk sağlığı için tehlike oluşturduğundan, iki konteyneri de kaldırarak çukurun doldurulup çiçeklendirilmesini, bina çöpleri için 2059. Sokak site araç girişine yakın 3 blok için 3 tane tekerlekli çöp arabası konulmasını acilen rica ederim. Orkide park konutları denetleme kurulu üyesi Süleyman u***.",Çevre ve Temizlik,2
"Altındağ Belediyesi Gece Yüksek Ses Şikayeti Altındağ Belediyesi temizlik işçileri gece saat 3 civarı çöp topluyorlar. Sesten dolayı bütün mahalle ayağa kalkıyor. Bu çöpleri gündüz toplasalar olmaz mı? Her gece 3'te ayaktayız. Belediyeye altın masaya şikayette bulundum, ancak sonuç alamadım. Saygılar. Ankara Altındağ Karapürçek Mah. 384 sok ve devamı.",Çevre ve Temizlik,3
"Altındağ Belediyesi Seyyar Satıcı Gürültü Kirliliği Yasa Dışı Satış Ankara Z****** hanım Mahallesi Bahçıvan caddesinde oturan ev sahibi bir vatandaşım. Her sabah saat 10.00'da başlayan ve tüm gün süren seyyar satıcı satışına neden hiçbir şey yapılmıyor? Domatesçi, fasulyecisi, Sarımsakçı, Patates soğancısı, elbisecisi, yumurtacısına aklınıza gelen her şey aralıksız bağrış çağrış şeklinde sokakta tur atıyor, satış yapıyor. Megafon sesi son ses açık ve defalarca aynı sokaktan geçiyorlar. Bu gürültü kirliliği yüzünden uyuyamıyorum. Evde huzurumuz kalmadı. Defalarca şikayet açtım Ankara Altındağ Belediyesi'nde yazılı dilekçe verdim ve ikinci kez belediyeye gittim. Bana zabıta müdürü N*** Bey zabıta ekiplerini günde iki defa devriye attıracağına dair söz verdi ama yine bir şey yapılmıyor. Daha ne yapayım söyler misiniz? Kendi evimde hemen yaşamak hem de Home ofis çalışmak zorundayım, ses yüzünden bırakın çalışmayı evde yaşayamaz oldum. Zabıta ekipleri nerede? Neden müdahale, denetim, kontrol yok? Megafonla satış yasak değil mi? Bu nasıl bir düzensizlik kontrolsüzlük? CİMER - Şikayetvar a - zabıta WhatsApp grubuna ve 0312 507 00 50 hattına defalarca şikayet kayıtlarım var. Mağdur bir vatandaş olarak daha ne yapabilirim? İlgili yetkili üst makamlardan bu seyyar satıcılar ile ilgili gerekli tüm ceza ve yaptırımların yapılmasını, düzenli olarak çevrede devriye atılmasını, takip edilmesini, uyarı levhaları konulmasını tarafıma bu konuda bilgi verilmesini arz ve talep ederim. Saygılarımla.",Altyapı ve İmar,1
